1,44,13,22
2,86,65,32
3,64,77,56
4,22,90,28
5,43,52,3
6,33,82,63
7,6,36,32
8,48,31,85
9,2,65,24
10,13,17,62
11,27,52,48
12,5,1,100
13,73,96,52
14,94,44,5
15,8,40,84
16,80,17,30
17,96,72,7
18,94,75,16
19,9,46,78
20,60,66,68
21,52,54,50
22,99,24,44
23,19,67,60
24,3,69,3
25,79,51,95
26,4,30,95
27,89,49,21
28,65,77,6
29,61,31,78
30,69,93,26
31,71,24,2
32,16,43,73
33,64,44,83
34,39,96,29
35,39,87,70
36,50,91,10
37,71,64,64
38,26,85,33
39,20,56,44
40,100,82,87
41,69,17,17
42,16,1,81
43,14,98,44
44,49,46,98
45,4,82,9
46,11,99,58
47,34,36,65
48,11,18,81
49,3,62,98
50,15,96,94
51,22,51,70
52,11,72,61
53,22,73,91
54,79,40,80
55,2,69,11
56,99,77,13
57,72,1,39
58,10,59,50
59,18,31,1
60,61,29,37
61,6,98,13
62,17,80,35
63,13,67,76
64,42,30,1
65,33,38,64
66,39,20,4
67,50,49,61
68,26,17,68
69,45,60,21
70,100,75,15
71,16,90,36
72,68,38,82
73,28,44,81
74,32,60,7
75,26,1,31
76,4,70,61
77,63,21,99
78,5,31,84
79,32,62,65
80,96,26,82
81,17,76,44
82,98,79,63
83,82,13,71
84,50,62,14
85,40,82,26
86,3,6,5
87,83,1,33
88,30,45,31
89,18,2,51
90,36,16,77
91,23,58,28
92,86,4,43
93,25,80,18
94,10,62,81
95,84,33,81
96,18,74,51
97,59,62,14
98,46,7,92
99,67,86,63
100,85,83,94
101,95,64,57
102,9,82,33
103,15,31,96
104,92,23,47
105,67,99,14
106,48,3,85
107,39,98,63
108,60,80,4
109,17,39,80
110,71,84,32
111,7,35,99
112,13,85,3
113,44,80,20
114,90,81,15
115,17,95,19
116,19,44,76
117,86,81,55
118,35,77,14
119,51,64,55
120,97,31,58
121,88,5,53
122,67,29,59
123,30,33,59
124,26,84,27
125,60,98,5
126,30,18,59
127,55,33,80
128,56,100,75
129,48,5,20
130,37,17,10
131,38,84,82
132,37,27,91
133,72,99,49
134,44,5,52
135,39,38,34
136,32,52,15
137,86,14,54
138,13,32,45
139,36,92,23
140,49,84,84
141,72,25,40
142,34,48,36
143,71,90,34
144,5,94,3
145,57,94,93
146,80,12,56
147,60,9,94
148,98,96,38
149,54,73,57
150,50,62,17
151,91,1,70
152,96,62,74
153,80,99,19
154,16,59,64
155,5,38,34
156,89,30,71
157,56,46,6
158,93,30,52
159,94,18,39
160,61,34,54
161,27,93,18
162,44,74,63
163,1,18,67
164,17,63,43
165,69,92,91
166,90,5,18
167,69,11,27
168,2,33,34
169,61,51,7
170,5,5,57
171,69,41,48
172,44,87,22
173,4,45,80
174,53,47,39
175,55,29,60
176,95,21,72
177,12,69,29
178,39,62,9
179,12,1,69
